Job Title,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted,Min Salary,Max Salary,Month,Avg Salary
System Administrator,Build full stack solutions using C# to enhance user experience.,"c#, java, jsp, servlet",£28 - £38,Hanoi,Nexlify Vietnam,Entry-Level,Cloud Computing,Full-Time,2019-07-13,28,38,2019-07,33.0
Frontend Developer,Design scalable backend systems with Spring to support web platforms.,"php, servlet, spring",£65 - £78,Ho Chi Minh City,Haravan,Senior,Cybersecurity,Part-Time,2019-03-18,65,78,2019-03,71.5
Web Developer,Design scalable backend systems with C# to support web platforms.,"c#, html, mysql",£64 - £74,Ho Chi Minh City,Tiki,Senior,Cloud Computing,Contract-Type,2019-03-31,64,74,2019-03,69.0
Java Developer,Build full stack solutions using Servlet to enhance user experience.,"javascript, servlet",£40 - £53,Hanoi,Haravan,Mid-Level,Artificial Intelligence,Full-Time,2019-09-13,40,53,2019-09,46.5
Software Engineer,Build full stack solutions using SQL to enhance user experience.,"java, sql",£39 - £47,Ho Chi Minh City,Haravan,Mid-Level,Artificial Intelligence,Contract-Type,2019-04-11,39,47,2019-04,43.0
System Administrator,Lead development of web and full stack projects utilizing PHP.,"css, java, php, python",£59 - £65,Da Nang,TMA Solutions,Senior,Software Development,Full-Time,2019-08-18,59,65,2019-08,62.0
Frontend Developer,Integrate APIs and microservices using Java for web systems.,"css, java",£50 - £56,Vung Tau,VinAI,Senior,Cybersecurity,Part-Time,2019-01-23,50,56,2019-01,53.0
Database Administrator,Create responsive front-end interfaces with CSS for modern web apps.,"css, javascript",£59 - £65,Hanoi,Techcombank IT,Senior,Mobile Development,Full-Time,2019-01-31,59,65,2019-01,62.0
Frontend Developer,Create responsive front-end interfaces with HTML for modern web apps.,"c#, css, html, mysql",£29 - £39,Hanoi,VNG,Entry-Level,Mobile Development,Full-Time,2019-07-26,29,39,2019-07,34.0
Database Administrator,Lead development of web and full stack projects utilizing Java.,"html, java",£17 - £26,Hue,Zalo,Entry-Level,IT Infrastructure,Full-Time,2019-06-05,17,26,2019-06,21.5
Software Engineer,Build full stack solutions using Spring to enhance user experience.,"java, spring, sql",£22 - £37,Hanoi,Grab Vietnam,Entry-Level,Web Development,Full-Time,2019-01-23,22,37,2019-01,29.5
Software Engineer,Design scalable backend systems with JavaScript to support web platforms.,"javascript, php, sql",£34 - £43,Da Nang,NashTech,Mid-Level,Artificial Intelligence,Part-Time,2019-08-14,34,43,2019-08,38.5
Web Developer,Integrate APIs and microservices using MySQL for web systems.,"javascript, mysql",£28 - £37,Hanoi,Grab Vietnam,Entry-Level,Cybersecurity,Full-Time,2019-08-05,28,37,2019-08,32.5
Network Engineer,Optimize Java-based web applications with Python for performance.,"c#, javascript, php, python",£36 - £41,Hanoi,Nexlify Vietnam,Mid-Level,Web Development,Full-Time,2019-02-02,36,41,2019-02,38.5
Software Engineer,Create responsive front-end interfaces with C# for modern web apps.,"c#, css, java, php",£34 - £39,Ho Chi Minh City,Zalo,Mid-Level,Cloud Computing,Full-Time,2019-01-21,34,39,2019-01,36.5
Network Engineer,Lead development of web and full stack projects utilizing SQL.,"python, servlet, sql",£33 - £41,Da Nang,Nexlify Vietnam,Mid-Level,Mobile Development,Full-Time,2019-05-04,33,41,2019-05,37.0
Full Stack Developer,Lead development of web and full stack projects utilizing SQL.,"java, python, spring, sql",£22 - £34,Hanoi,Tiki,Entry-Level,Mobile Development,Full-Time,2019-07-03,22,34,2019-07,28.0
Web Developer,Optimize Java-based web applications with JavaScript for performance.,"css, javascript, php",£55 - £68,Hanoi,Techcombank IT,Senior,Software Development,Full-Time,2019-09-25,55,68,2019-09,61.5
Frontend Developer,Develop and maintain web applications using Python for client projects.,"jsp, python",£20 - £32,Ho Chi Minh City,Lazada Vietnam,Entry-Level,Web Development,Full-Time,2019-12-14,20,32,2019-12,26.0
