Job Title,Job Description,Required Skills,Salary Range,Location,Company,Experience Level,Industry,Job Type,Date Posted,Min Salary,Max Salary,Month,Avg Salary,JobID,All,Job Description	
SystemAdministrator,BuildfullstacksolutionsusingC#toenhanceuserexperience.,"c#,java,jsp,servlet",£28-£38,Hanoi,NexlifyVietnam,Entry-Level,CloudComputing,Full-Time,2019-07-13,28,38,2019-07,33.0,0,"SystemAdministrator,BuildfullstacksolutionsusingC#toenhanceuserexperience.,c#,java,jsp,servlet,£28-£38,Hanoi,NexlifyVietnam,Entry-Level,CloudComputing,Full-Time,2019-07-13,28,38,2019-07,33.0,0",0
FrontendDeveloper,DesignscalablebackendsystemswithSpringtosupportwebplatforms.,"php,servlet,spring",£65-£78,HoChiMinhCity,Haravan,Senior,Cybersecurity,Part-Time,2019-03-18,65,78,2019-03,71.5,1,"FrontendDeveloper,DesignscalablebackendsystemswithSpringtosupportwebplatforms.,php,servlet,spring,£65-£78,HoChiMinhCity,Haravan,Senior,Cybersecurity,Part-Time,2019-03-18,65,78,2019-03,71.5,1",1
WebDeveloper,DesignscalablebackendsystemswithC#tosupportwebplatforms.,"c#,html,mysql",£64-£74,HoChiMinhCity,Tiki,Senior,CloudComputing,Contract-Type,2019-03-31,64,74,2019-03,69.0,2,"WebDeveloper,DesignscalablebackendsystemswithC#tosupportwebplatforms.,c#,html,mysql,£64-£74,HoChiMinhCity,Tiki,Senior,CloudComputing,Contract-Type,2019-03-31,64,74,2019-03,69.0,2",2
JavaDeveloper,BuildfullstacksolutionsusingServlettoenhanceuserexperience.,"javascript,servlet",£40-£53,Hanoi,Haravan,Mid-Level,ArtificialIntelligence,Full-Time,2019-09-13,40,53,2019-09,46.5,3,"JavaDeveloper,BuildfullstacksolutionsusingServlettoenhanceuserexperience.,javascript,servlet,£40-£53,Hanoi,Haravan,Mid-Level,ArtificialIntelligence,Full-Time,2019-09-13,40,53,2019-09,46.5,3",3
SoftwareEngineer,BuildfullstacksolutionsusingSQLtoenhanceuserexperience.,"java,sql",£39-£47,HoChiMinhCity,Haravan,Mid-Level,ArtificialIntelligence,Contract-Type,2019-04-11,39,47,2019-04,43.0,4,"SoftwareEngineer,BuildfullstacksolutionsusingSQLtoenhanceuserexperience.,java,sql,£39-£47,HoChiMinhCity,Haravan,Mid-Level,ArtificialIntelligence,Contract-Type,2019-04-11,39,47,2019-04,43.0,4",4
SystemAdministrator,LeaddevelopmentofwebandfullstackprojectsutilizingPHP.,"css,java,php,python",£59-£65,DaNang,TMASolutions,Senior,SoftwareDevelopment,Full-Time,2019-08-18,59,65,2019-08,62.0,5,"SystemAdministrator,LeaddevelopmentofwebandfullstackprojectsutilizingPHP.,css,java,php,python,£59-£65,DaNang,TMASolutions,Senior,SoftwareDevelopment,Full-Time,2019-08-18,59,65,2019-08,62.0,5",5
FrontendDeveloper,IntegrateAPIsandmicroservicesusingJavaforwebsystems.,"css,java",£50-£56,VungTau,VinAI,Senior,Cybersecurity,Part-Time,2019-01-23,50,56,2019-01,53.0,6,"FrontendDeveloper,IntegrateAPIsandmicroservicesusingJavaforwebsystems.,css,java,£50-£56,VungTau,VinAI,Senior,Cybersecurity,Part-Time,2019-01-23,50,56,2019-01,53.0,6",6
DatabaseAdministrator,Createresponsivefront-endinterfaceswithCSSformodernwebapps.,"css,javascript",£59-£65,Hanoi,TechcombankIT,Senior,MobileDevelopment,Full-Time,2019-01-31,59,65,2019-01,62.0,7,"DatabaseAdministrator,Createresponsivefront-endinterfaceswithCSSformodernwebapps.,css,javascript,£59-£65,Hanoi,TechcombankIT,Senior,MobileDevelopment,Full-Time,2019-01-31,59,65,2019-01,62.0,7",7
FrontendDeveloper,Createresponsivefront-endinterfaceswithHTMLformodernwebapps.,"c#,css,html,mysql",£29-£39,Hanoi,VNG,Entry-Level,MobileDevelopment,Full-Time,2019-07-26,29,39,2019-07,34.0,8,"FrontendDeveloper,Createresponsivefront-endinterfaceswithHTMLformodernwebapps.,c#,css,html,mysql,£29-£39,Hanoi,VNG,Entry-Level,MobileDevelopment,Full-Time,2019-07-26,29,39,2019-07,34.0,8",8
DatabaseAdministrator,LeaddevelopmentofwebandfullstackprojectsutilizingJava.,"html,java",£17-£26,Hue,Zalo,Entry-Level,ITInfrastructure,Full-Time,2019-06-05,17,26,2019-06,21.5,9,"DatabaseAdministrator,LeaddevelopmentofwebandfullstackprojectsutilizingJava.,html,java,£17-£26,Hue,Zalo,Entry-Level,ITInfrastructure,Full-Time,2019-06-05,17,26,2019-06,21.5,9",9
