Job Title,Company,Location,JobID,Job Description,score
Cybersecurity Specialist,KMS Technology,Remote,19809,Design microservices architecture using PyTorch and Next.js for KMS Technology's machine learning models to enhance user experience.,0.6788664660278234
Java Developer,KMS Technology,Da Nang,1249,Maintain microservices architecture using MySQL and HTML for KMS Technology's machine learning models to enhance user experience.,0.6891741062585837
Machine Learning Engineer,KMS Technology,Hanoi,10352,Integrate cloud-based solutions using SQL and Python for KMS Technology's data pipelines to enhance user experience.,0.6892635995170315
API Developer,KMS Technology,Remote,9688,Build real-time data platforms using Flutter and Django for KMS Technology's machine learning models to enhance user experience.,0.7064588045509461
Machine Learning Engineer,KMS Technology,Ho Chi Minh City,11084,Integrate microservices architecture using React and Azure for KMS Technology's data pipelines to enhance user experience.,0.7162518406738823
Machine Learning Engineer,VNG,Hanoi,8912,Integrate real-time data platforms using Python and Node.js for VNG's machine learning models to enhance user experience.,0.7168932624025519
Machine Learning Engineer,KMS Technology,Hanoi,8829,Implement cloud-based solutions using AWS and Spring for KMS Technology's machine learning models to enhance user experience.,0.719801331494405
System Administrator,KMS Technology,Ho Chi Minh City,535,Optimize enterprise software using Java and HTML for KMS Technology's databases to enhance user experience.,0.7207476024706128
AI Engineer,KMS Technology,Ho Chi Minh City,16179,Enhance web applications using Python and Azure for KMS Technology's machine learning models to enhance user experience.,0.7280889661823693
Machine Learning Engineer,KMS Technology,Remote,9648,Lead e-commerce systems using AWS and Kubernetes for KMS Technology's APIs to enhance user experience.,0.7282972567513901
Full Stack Developer,KMS Technology,Hanoi,816,Design backend systems using Spring and CSS for KMS Technology's machine learning models to drive innovation.,0.7303864967386119
Web Application Specialist,KMS Technology,Remote,11504,Design e-commerce systems using Kubernetes and AWS for KMS Technology's machine learning models to enable real-time processing.,0.7329907938718518
Full Stack Developer,KMS Technology,Ho Chi Minh City,8373,Architect real-time data platforms using Vue.js and Spring Boot for KMS Technology's machine learning models to enhance user experience.,0.7366806076745391
Machine Learning Engineer,KMS Technology,Da Nang,11410,Develop microservices architecture using Django and Java for KMS Technology's machine learning models to increase security.,0.7374660512382631
Java Backend Developer,KMS Technology,Hai Phong,9635,Integrate AI-driven tools using Java and Python for KMS Technology's machine learning models to optimize workflows.,0.7387890313664295
Web Application Specialist,KMS Technology,Hanoi,11582,Design mobile-first interfaces using GraphQL and Python for KMS Technology's blockchain protocols to enhance user experience.,0.7390049813877537
Web Developer,KMS Technology,Ho Chi Minh City,2065,Lead cloud-based solutions using Java and MySQL for KMS Technology's CI/CD pipelines to enhance user experience.,0.7397280177550136
API Developer,KMS Technology,Ho Chi Minh City,8705,Optimize mobile-first interfaces using Python and Kubernetes for KMS Technology's IoT integrations to enhance user experience.,0.7417496371905191
Data Scientist,KMS Technology,Nha Trang,7372,Optimize real-time data platforms using Vue.js and Java for KMS Technology's machine learning models to enable real-time processing.,0.7421914593994123
Network Engineer,KMS Technology,Da Nang,414,Develop enterprise software using C# and CSS for KMS Technology's data pipelines to enhance user experience.,0.742680403655843
AI Engineer,KMS Technology,Remote,7633,Optimize microservices architecture using Python and React for KMS Technology's machine learning models to support business growth.,0.7437293330800201
